image,caption,captions_number,id
1022975728_75515238d8.jpg,A black lab with tags frolicks in the water .,91,18
1022975728_75515238d8.jpg,A dog splashes in the water,92,18
1022975728_75515238d8.jpg,The black dog runs through the water .,93,18
1022975728_75515238d8.jpg,This is a black dog splashing in the water .,94,18
102351840_323e3de834.jpg,A man drilling a hole in the ice .,95,19
102351840_323e3de834.jpg,A man is drilling through the frozen ice of a pond .,96,19
102351840_323e3de834.jpg,A person in the snow drilling a hole in the ice .,97,19
102351840_323e3de834.jpg,A person standing on a frozen lake .,98,19
102351840_323e3de834.jpg,Two men are ice fishing .,99,19
1024138940_f1fefbdce1.jpg,Two different breeds of brown and white dogs play on the beach .,100,20
1024138940_f1fefbdce1.jpg,Two dogs are making a turn on a soft sand beach .,101,20
1024138940_f1fefbdce1.jpg,Two dogs playing in the sand at the beach .,102,20
1024138940_f1fefbdce1.jpg,Two dogs playing together on a beach .,103,20
1024138940_f1fefbdce1.jpg,Two large tan dogs play along a sandy beach .,104,20
102455176_5f8ead62d5.jpg,A man uses ice picks and crampons to scale ice .,105,21
102455176_5f8ead62d5.jpg,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .,106,21
102455176_5f8ead62d5.jpg,An ice climber scaling a frozen waterfall .,107,21
102455176_5f8ead62d5.jpg,A person in blue and red ice climbing with two picks .,108,21
102455176_5f8ead62d5.jpg,Climber climbing an ice wall,109,21
1026685415_0431cbf574.jpg,A black dog carries a green toy in his mouth as he walks through the grass .,110,22
1026685415_0431cbf574.jpg,A black dog carrying something through the grass .,111,22
1026685415_0431cbf574.jpg,A black dog has a blue toy in its mouth .,112,22
1026685415_0431cbf574.jpg,A dog in grass with a blue item in his mouth .,113,22
1026685415_0431cbf574.jpg,A wet black dog is carrying a green toy through the grass .,114,22
1028205764_7e8df9a2ea.jpg,A man and a baby are in a yellow kayak on water .,115,23
1028205764_7e8df9a2ea.jpg,A man and a little boy in blue life jackets are rowing a yellow canoe .,116,23
1028205764_7e8df9a2ea.jpg,A man and child kayak through gentle waters .,117,23
1028205764_7e8df9a2ea.jpg,A man and young boy ride in a yellow kayak .,118,23
1028205764_7e8df9a2ea.jpg,Man and child in yellow kayak,119,23
1030985833_b0902ea560.jpg,A black dog and a brown dog are jumping up to catch a red toy .,120,24
1030985833_b0902ea560.jpg,A black dog and a brown dog play with a red toy on a courtyard .,121,24
1030985833_b0902ea560.jpg,A brown and black lab are outside and the black lab is catching a toy in its mouth .,122,24
1030985833_b0902ea560.jpg,Black dog snaps at red and black object as brown dog lunges .,123,24
1030985833_b0902ea560.jpg,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .,124,24
103106960_e8a41d64f8.jpg,A boy with a stick kneeling in front of a goalie net,125,25
103106960_e8a41d64f8.jpg,A child in a red jacket playing street hockey guarding a goal .,126,25
103106960_e8a41d64f8.jpg,A young kid playing the goalie in a hockey rink .,127,25
103106960_e8a41d64f8.jpg,A young male kneeling in front of a hockey goal with a hockey stick in his right hand .,128,25
103106960_e8a41d64f8.jpg,"Hockey goalie boy in red jacket crouches by goal , with stick .",129,25
103195344_5d2dc613a3.jpg,A man in black is sitting next to a modern art structure in front of a glass building .,130,26
103195344_5d2dc613a3.jpg,A man sits and reads a newspaper by a sculpture outside of an office building .,131,26
103195344_5d2dc613a3.jpg,a man sits near a large statue .,132,26
103195344_5d2dc613a3.jpg,A man sitting in front of a metal sculpture in front of a building .,133,26
103195344_5d2dc613a3.jpg,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,134,26
103205630_682ca7285b.jpg,A tent is being set up on the ice .,135,27
103205630_682ca7285b.jpg,Two men are about to enter an ice fishing tent on a snow covered lake .,136,27
103205630_682ca7285b.jpg,two men setting up a blue ice fishing hut on an iced over lake,137,27
103205630_682ca7285b.jpg,"Two men , standing on an ice , looking into something covered with a blue tarp .",138,27
103205630_682ca7285b.jpg,Two people standing outside a blue tent structure on a snowy surface .,139,27
1032122270_ea6f0beedb.jpg,A woman crouches near three dogs in a field .,140,28
1032122270_ea6f0beedb.jpg,Three dogs are playing on grassy hill with a blue sky .,141,28
1032122270_ea6f0beedb.jpg,Three dogs are standing in the grass and a person is sitting next to them,142,28
1032122270_ea6f0beedb.jpg,Three dogs on a grassy hill,143,28
1032122270_ea6f0beedb.jpg,Three dogs stand in a grassy field while a person kneels nearby .,144,28
1032460886_4a598ed535.jpg,a man is standing in front of a skyscraper,145,29
1032460886_4a598ed535.jpg,A man stands in front of a skyscraper .,146,29
1032460886_4a598ed535.jpg,A man stands in front of a very tall building .,147,29
1032460886_4a598ed535.jpg,Behind the man in a red shirt stands a large skyscraper .,148,29
1032460886_4a598ed535.jpg,There is a skyscraper in the distance with a man walking in front of the camera .,149,29
1034276567_49bb87c51c.jpg,A boy bites hard into a treat while he sits outside .,150,30
1034276567_49bb87c51c.jpg,A child biting into a baked good .,151,30
1034276567_49bb87c51c.jpg,A small boy putting something in his mouth with both hands .,152,30
1034276567_49bb87c51c.jpg,The boy eats his food outside at the table .,153,30
1034276567_49bb87c51c.jpg,The boy is eating pizza over a tin dish .,154,30
104136873_5b5d41be75.jpg,People sit on the mountainside and check out the view .,155,31
104136873_5b5d41be75.jpg,Three people are on a hilltop overlooking a green valley .,156,31
104136873_5b5d41be75.jpg,Three people hang out on top of a big hill .,157,31
104136873_5b5d41be75.jpg,Three people overlook a green valley .,158,31
104136873_5b5d41be75.jpg,Three people rest on a ledge above the moutains .,159,31
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt is looking down at many inflatable boats .,160,32
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt watches kayakers .,161,32
1042020065_fb3d3ba5ba.jpg,A boy looks over a railing at the many boats and rafts below in the water .,162,32
1042020065_fb3d3ba5ba.jpg,A young boy overlooking a crowd of inflatable boats .,163,32
1042020065_fb3d3ba5ba.jpg,A young boy wearing a jersey looks down over a ledge at many boats in the water .,164,32
1042590306_95dea0916c.jpg,A man and woman pose for the camera while another man looks on .,165,33
1042590306_95dea0916c.jpg,A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .,166,33
1042590306_95dea0916c.jpg,A multiracial couple posing for a picture,167,33
1042590306_95dea0916c.jpg,"Asian man and blond woman holding hands outdoors , man in background watches .",168,33
1042590306_95dea0916c.jpg,Guy in blue shirt biting hand of girl in black striped jacket while another guy watches,169,33
1045521051_108ebc19be.jpg,A person eats takeout while watching a small television .,170,34
1045521051_108ebc19be.jpg,A person sits on the floor and eats in front of a television .,171,34
1045521051_108ebc19be.jpg,A television with a picture of a girl on it .,172,34
1045521051_108ebc19be.jpg,A young man sits on the floor by the television with a fast food meal in front of him .,173,34
1045521051_108ebc19be.jpg,Someone is laying in front of the TV eating food .,174,34
1048710776_bb5b0a5c7c.jpg,a couple of several people sitting on a ledge overlooking the beach,175,35
1048710776_bb5b0a5c7c.jpg,A group of people sit on a wall at the beach .,176,35
1048710776_bb5b0a5c7c.jpg,A group of teens sit on a wall by a beach .,177,35
1048710776_bb5b0a5c7c.jpg,Crowd of people at the beach .,178,35
1048710776_bb5b0a5c7c.jpg,Several young people sitting on a rail above a crowded beach .,179,35
1052358063_eae6744153.jpg,A boy takes a jump on his skateboard while another boy with a skateboard watches .,180,36
1052358063_eae6744153.jpg,A child is performing a skateboard trick while another child with a skateboard leans on a wall .,181,36
1052358063_eae6744153.jpg,A little boy skateboarder is doing a trick on his board while another young skateboarder watches .,182,36
1052358063_eae6744153.jpg,a young boy skateboarder jumping on a platform on a skateboard .,183,36
1052358063_eae6744153.jpg,Two skateboarders .,184,36
105342180_4d4a40b47f.jpg,"A girl paddling down a large river , as seen from behind her .",185,37
105342180_4d4a40b47f.jpg,A woman kayaking down a river .,186,37
105342180_4d4a40b47f.jpg,A woman paddles a boat down a river .,187,37
105342180_4d4a40b47f.jpg,A woman with a paddle .,188,37
105342180_4d4a40b47f.jpg,A woman with a paddle sits in a boat on the water .,189,37
1053804096_ad278b25f1.jpg,A girl in pigtails splashes in the shallow water .,190,38
1053804096_ad278b25f1.jpg,A girls plays in the surf .,191,38
1053804096_ad278b25f1.jpg,a girl with pigtails is playing in the ocean by the beach .,192,38
1053804096_ad278b25f1.jpg,A girl with pigtails plays in the water .,193,38
1053804096_ad278b25f1.jpg,A young girl in pigtails plays in the water .,194,38
1055623002_8195a43714.jpg,A group of four children wearing pajamas have a pillow fight .,195,39
1055623002_8195a43714.jpg,A group of kids have a pillow-fight .,196,39
1055623002_8195a43714.jpg,A group of young children playing pillow fight on a bed .,197,39
1055623002_8195a43714.jpg,Children having a pillow fight .,198,39
1055623002_8195a43714.jpg,Four children are having a pillow fight .,199,39
1055753357_4fa3d8d693.jpg,Two constructions workers sit on a beam taking a break .,200,40
1055753357_4fa3d8d693.jpg,Two construction workers are sitting up on the side of a building .,201,40
1055753357_4fa3d8d693.jpg,Two construction workers sitting on an I-beam .,202,40
1055753357_4fa3d8d693.jpg,Two construction workers take a seat on a steel beam .,203,40
1055753357_4fa3d8d693.jpg,Two men take a break from construction .,204,40
1056249424_ef2a2e041c.jpg,The children are playing in the water .,205,41
1056249424_ef2a2e041c.jpg,"Two boys , one with a yellow and orange ball , play in some water in front of a field .",206,41
1056249424_ef2a2e041c.jpg,Two boys play in a puddle .,207,41
1056249424_ef2a2e041c.jpg,Two children play with a balloon in mud on a sunny day .,208,41
1056249424_ef2a2e041c.jpg,Two kids are running and playing in some water .,209,41
1056338697_4f7d7ce270.jpg,A blond woman in a blue shirt appears to wait for a ride .,210,42
1056338697_4f7d7ce270.jpg,A blond woman is on the street hailing a taxi .,211,42
1056338697_4f7d7ce270.jpg,"A woman is signaling is to traffic , as seen from behind .",212,42
1056338697_4f7d7ce270.jpg,A woman with blonde hair wearing a blue tube top is waving on the side of the street .,213,42
1056338697_4f7d7ce270.jpg,The woman in the blue dress is holding out her arm at oncoming traffic .,214,42
1056359656_662cee0814.jpg,A little girl looking at a brochure on train rides,215,43
1056359656_662cee0814.jpg,a young blond girl with a magizine in her hands,216,43
1056359656_662cee0814.jpg,A young girl on a train reads a book about train rides .,217,43
1056359656_662cee0814.jpg,A young girl sits on a seat and looks at a train pamphlet .,218,43
1056359656_662cee0814.jpg,Child sitting down looking at train ride brochure,219,43
1056873310_49c665eb22.jpg,A brown dog is running after a black dog on a rocky shore .,220,44
1056873310_49c665eb22.jpg,A brown dog is running after the black dog .,221,44
1056873310_49c665eb22.jpg,Two dogs playing on a beach .,222,44
1056873310_49c665eb22.jpg,Two dogs run across stones near a body of water .,223,44
1056873310_49c665eb22.jpg,Two dogs run towards each other on a rocky area with water in the background .,224,44
1057089366_ca83da0877.jpg,A boy descends off the end of a high diving board .,225,45
1057089366_ca83da0877.jpg,A child jumps off a high diving board into the pool .,226,45
1057089366_ca83da0877.jpg,A kid jumps off the diving board and into the swimming pool below .,227,45
1057089366_ca83da0877.jpg,A little kid is jumping off a high dive at the pool .,228,45
1057089366_ca83da0877.jpg,The boy is jumping off a high diving board into the pool .,229,45
1057210460_09c6f4c6c1.jpg,A guy stands by a window taking his overshirt off .,230,46
1057210460_09c6f4c6c1.jpg,A man in a tank top stands next to a chrome door .,231,46
1057210460_09c6f4c6c1.jpg,A man puts his shirt on near an elevator .,232,46
1057210460_09c6f4c6c1.jpg,A man stands by an elevator with his head down .,233,46
1057210460_09c6f4c6c1.jpg,The man is putting on his shirt near an elevator .,234,46
1057251835_6ded4ada9c.jpg,A light-colored dog runs on the beach .,235,47
1057251835_6ded4ada9c.jpg,A small yellow dog runs on a beach,236,47
1057251835_6ded4ada9c.jpg,A tan dog runs on a sandy beach .,237,47
1057251835_6ded4ada9c.jpg,A white dog is running down a rocky beach .,238,47
1057251835_6ded4ada9c.jpg,Light brown dog running along the beach .,239,47
106490881_5a2dd9b7bd.jpg,A boy in his blue swim shorts at the beach .,240,48
106490881_5a2dd9b7bd.jpg,A boy smiles for the camera at a beach .,241,48
106490881_5a2dd9b7bd.jpg,A young boy in swimming trunks is walking with his arms outstretched on the beach .,242,48
106490881_5a2dd9b7bd.jpg,Children playing on the beach .,243,48
106490881_5a2dd9b7bd.jpg,The boy is playing on the shore of an ocean .,244,48
106514190_bae200f463.jpg,A hiker standing high on a bluff overlooking the mountains below .,245,49
106514190_bae200f463.jpg,a person on ski 's looks from hill over snow covered landscape,246,49
106514190_bae200f463.jpg,A skier is overlooking a snow-covered mountain .,247,49
106514190_bae200f463.jpg,A skier is overlooking the beautiful white snow covered landscape .,248,49
106514190_bae200f463.jpg,A skier pauses on a mountaintop .,249,49
1067180831_a59dc64344.jpg,A black and white dog is attempting to catch a yellow and purple object in a low cut yard .,250,50
1067180831_a59dc64344.jpg,A black and white dog jumps after a yellow toy .,251,50
1067180831_a59dc64344.jpg,a black and white dog jumps to get the Frisbee .,252,50
1067180831_a59dc64344.jpg,A black dog is jumping up to catch a purple and green toy .,253,50
1067180831_a59dc64344.jpg,A dog jumps to catch a toy .,254,50
1067675215_7336a694d6.jpg,A man in blue shorts is laying in the street .,255,51
1067675215_7336a694d6.jpg,A man in blue shorts lays down outside in a parking lot .,256,51
1067675215_7336a694d6.jpg,A man laying down in middle of street during heavy traffic .,257,51
1067675215_7336a694d6.jpg,A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .,258,51
1067675215_7336a694d6.jpg,A shirtless man is laying down in the middle of a busy street .,259,51
1067790824_f3cc97239b.jpg,A white and black dog and a brown dog in sandy terrain .,260,52
1067790824_f3cc97239b.jpg,A woolly dog chases a Doberman on a beach .,261,52
1067790824_f3cc97239b.jpg,One dog is chasing another one on the beach .,262,52
1067790824_f3cc97239b.jpg,The two large dogs are running through sand .,263,52
1067790824_f3cc97239b.jpg,Two large dogs chasing each other at the beach .,264,52
1072153132_53d2bb1b60.jpg,A black and white dog catches a toy in midair .,265,53
1072153132_53d2bb1b60.jpg,A dog and a tennis ball .,266,53
1072153132_53d2bb1b60.jpg,"A dog is jumping to catch a object thrown at it ,",267,53
1072153132_53d2bb1b60.jpg,A dog leaps while chasing a tennis ball through a grassy field .,268,53
1072153132_53d2bb1b60.jpg,A multicolor dog jumping to catch a tennis ball in a grassy field .,269,53
107318069_e9f2ef32de.jpg,A crowd watching air balloons at night .,270,54
107318069_e9f2ef32de.jpg,A group of hot air balloons lit up at night .,271,54
107318069_e9f2ef32de.jpg,People are watching hot air balloons in the park .,272,54
107318069_e9f2ef32de.jpg,People watching hot air balloons .,273,54
107318069_e9f2ef32de.jpg,Seven large balloons are lined up at nighttime near a crowd .,274,54
1075716537_62105738b4.jpg,A child with a helmet on his head rides a bike .,275,55
1075716537_62105738b4.jpg,A little boy rides a bike down a hill on a miniature dirt bike .,276,55
1075716537_62105738b4.jpg,A young boy in a helmet rides a bike on the road .,277,55
1075716537_62105738b4.jpg,The little boy rides his bicycle in a race .,278,55
1075716537_62105738b4.jpg,The young boy pedals quickly at a BMX race .,279,55
107582366_d86f2d3347.jpg,A group of eight people are gathered around a table at night .,280,56
107582366_d86f2d3347.jpg,A group of people gathered around in the dark .,281,56
107582366_d86f2d3347.jpg,A group of people sit around a table outside on a porch at night .,282,56
107582366_d86f2d3347.jpg,A group of people sit outdoors together at night .,283,56
107582366_d86f2d3347.jpg,A group of people sitting at a table in a darkened room .,284,56
1075867198_27ca2e7efe.jpg,A man in a brown shirt and dark shorts plays on the beach with his two black dogs .,285,57
1075867198_27ca2e7efe.jpg,A man in shorts with two black dogs holds a ball throwing toy at the beach .,286,57
1075867198_27ca2e7efe.jpg,a man playing with two black dogs on the beach,287,57
1075867198_27ca2e7efe.jpg,A man with two dogs on a beach,288,57
1075867198_27ca2e7efe.jpg,Man at the beach with two dogs .,289,57
1075881101_d55c46bece.jpg,a boy cleans the bubbles off his face .,290,58
1075881101_d55c46bece.jpg,A boy covered in suds has his face wiped clean .,291,58
1075881101_d55c46bece.jpg,A boy is covered in bubbles .,292,58
1075881101_d55c46bece.jpg,A child covered in foam is climbing on a black inflatable ramp .,293,58
1075881101_d55c46bece.jpg,A person covered in soapy water is getting cleaned off .,294,58
1077546505_a4f6c4daa9.jpg,A boy in blue shorts slides down a slide into a pool .,295,59
1077546505_a4f6c4daa9.jpg,A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .,296,59
1077546505_a4f6c4daa9.jpg,A boy rides down a slide into a small backyard pool .,297,59
1077546505_a4f6c4daa9.jpg,A boy sliding down a slide into a pool with colorful tubes .,298,59
1077546505_a4f6c4daa9.jpg,A child is falling off a slide onto colored balloons floating on a pool of water .,299,59
1077931201_1e0bb83105.jpg,A man in a wetsuit is throwing a baby wearing a wetsuit up into the air .,300,60
1077931201_1e0bb83105.jpg,A man in a wetsuit is throwing a toddler up in the air and is ready to catch him .,301,60
1077931201_1e0bb83105.jpg,A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .,302,60
1077931201_1e0bb83105.jpg,The man is in the pool and throwing a small boy into the air .,303,60
1077931201_1e0bb83105.jpg,"While water droplets fly , a man throws a little boy up in the air .",304,60
1079274291_9aaf896cc1.jpg,A little boy sticks his tongue out for the camera . Another boy looks on .,305,61
1079274291_9aaf896cc1.jpg,Two boys make faces .,306,61
1079274291_9aaf896cc1.jpg,"Two young boys are looking at the camera , one smiling , the other sticking his tongue out .",307,61
1079274291_9aaf896cc1.jpg,Two young boys look up at the camera as one sticks out his tongue .,308,61
1079274291_9aaf896cc1.jpg,two young boys making silly faces .,309,61
10815824_2997e03d76.jpg,A blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel .,310,62
10815824_2997e03d76.jpg,A girl and her horse stand by a fire .,311,62
10815824_2997e03d76.jpg,A girl holding a horse 's lead behind a fire .,312,62
10815824_2997e03d76.jpg,"A man , and girl and two horses are near a contained fire .",313,62
10815824_2997e03d76.jpg,Two people and two horses watching a fire .,314,62
1082252566_8c79beef93.jpg,"A bulldog , a sheep dog , and a boxer standing in a yard .",315,63
1082252566_8c79beef93.jpg,A large brown dog is pushing a small Boston terrier with his face while anouther dog watches .,316,63
1082252566_8c79beef93.jpg,A large skinny dog stands near two smaller dogs int the dirt .,317,63
1082252566_8c79beef93.jpg,There are three dogs starring at a ball in the middle of them .,318,63
1082252566_8c79beef93.jpg,Three dogs of various sizes .,319,63
1082379191_ec1e53f996.jpg,A lady and a man with no shirt sit on a dock .,320,64
1082379191_ec1e53f996.jpg,A man and a woman are sitting on a dock together .,321,64
1082379191_ec1e53f996.jpg,A man and a woman sitting on a dock .,322,64
1082379191_ec1e53f996.jpg,A man and woman sitting on a deck next to a lake .,323,64
1082379191_ec1e53f996.jpg,A shirtless man and a woman sitting on a dock .,324,64
1084040636_97d9633581.jpg,A closeup of a white dog that is laying its head on its paws .,325,65
1084040636_97d9633581.jpg,a large white dog lying on the floor .,326,65
1084040636_97d9633581.jpg,A white dog has its head on the ground .,327,65
1084040636_97d9633581.jpg,A white dog is resting its head on a tiled floor with its eyes open .,328,65
1084040636_97d9633581.jpg,A white dog rests its head on the patio bricks .,329,65
1084104085_3b06223afe.jpg,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,330,66
1084104085_3b06223afe.jpg,A woman in blue shorts and a white shirt is indoor rock climbing .,331,66
1084104085_3b06223afe.jpg,The girl is climbing a rock wall .,332,66
1084104085_3b06223afe.jpg,"The girl is in a harness , climbing rocks .",333,66
1084104085_3b06223afe.jpg,Woman climbing an artificial rock wall .,334,66
1087168168_70280d024a.jpg,A boy is jumping on an inflatable ring and a girl is watching him,335,67
1087168168_70280d024a.jpg,A boy jumping on a water jumphouse,336,67
1087168168_70280d024a.jpg,A teenage boy is jumping on an inflatable slide .,337,67
1087168168_70280d024a.jpg,A young boy jumping and a young girl seating in an inflatable pool .,338,67
1087168168_70280d024a.jpg,Two young kids are playing in the water on an inflated toy .,339,67
1087539207_9f77ab3aaf.jpg,A family playing on a tractor on a beautiful day,340,68
1087539207_9f77ab3aaf.jpg,Children ride a tractor in a field .,341,68
1087539207_9f77ab3aaf.jpg,Several children playing on a Polaris vehicle outdoors .,342,68
1087539207_9f77ab3aaf.jpg,The children played on the four wheeler in the field .,343,68
1087539207_9f77ab3aaf.jpg,The four kids are riding on an ATV in a field .,344,68
1088767354_2acee738cf.jpg,A woman in a red costume to the left of a man and woman standing together .,345,69
1088767354_2acee738cf.jpg,A woman wearing a red costume looks at two other people standing on a street .,346,69
